source,p_comp,computed_p,raw,one_tailed_in_txt,sentence,reported_as,comment,rated
2019-28-BAL-fMRI-evidence-that-left-posterior-temporal-cortex-contributes_2019_Brain-and.pdf,<,0.113950726619759,"F(1, 23) = 2.7,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2019-16-LLT-23_3_10125-44700.pdf,<,0.0682487576162139,"t(298) = 1.83, p < 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-35-LSP-st-cyr-brisini-solomon-2020-building-expertise-effects-of-experience-claims-on-responses-to-advice.pdf,<,0.0820196528890677,"F(3, 179) = 2.27, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-29-JCL-S0305000919000722a.pdf,<,0.128160458577216,"F(4,23) = 2.0, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-37-JML-Priming-effects-on-subsequent-episodic-memory--Tes_2020_Journal-of-Memory-an.pdf,<,1,"T(70.7) = 7.78, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-57-JML-Visual-working-memory-capacity-is-limited-by-two-sys_2020_Journal-of-Memory-.pdf,<,0.0698577483179115,"F(114, 2) = 13.8, p < .001",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-46-JPR-s10936-020-09733-4.pdf,>,3.80450561523199e-111,"t (113) = 0,098, p > 0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-20-LAB-lab.17081.arn.pdf,>,5.1318432150924e-14,"t(6) = 0,331, p > .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2020-46-LCN-04-The cost of learning new meanings for familiar words.pdf,<,0.214590558219988,"[2(4) = 5.8, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2021-16-JML-Factors-influencing-bilinguals--speed-and-accuracy-of-nu_2021_Journal-of-Mem.pdf,>,0.0105266294972733,"Qw (7) = 18.34, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2021-13-BLC-S1366728920000322a.pdf,<,0.12608955395259,"2 (1) = 2.34, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2021-25-LAB-lab.19029.den.pdf,>,7.79003973309884e-7,"t (2) = -1,133, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2021-51-JML-The-influence-of-prior-knowledge-on-the-formation-of_2021_Journal-of-Memory-.pdf,>,0.0253053484387896,"t(254) = 2.25, p > .1",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-05-SLH-01-Influences of listener gender and working memory capacity on speech recognition in noise for h.pdf,<,0.0621988751407203,"F (1, 186) = 3.52, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-30-JCL-S0305000921000234a.pdf,<,0.169552424390984,"F(42, 1) =21.54, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-24-LSP-rodero-et-al-2022-the-expressive-balance-effect-perception-and-physiological-responses-of-prosody-and-gestures.pdf,<,0.110966770634406,"F (2,118) = 2.24, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-34-SLA-S0272263121000619a.pdf,>,0.00297799749047493,"(z = 2.97, p > .1",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-17-SLA-S0272263121000309a.pdf,<,0.0593996025770136,"F(2,94) =2.91, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-02-APS-S0142716421000412a.pdf,<,0.822395919203144,"F(3,67) = .304, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2022-24-LCN-02-It_s about time_ Time as a parameter for lexical and syntactic processing_ an eye-tracking-whi.pdf,<,0.999969781502571,"2(32) = 9.31, p < .03",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-63-BLC-S1366728923000135a.pdf,<,0.054561596451867,"F(1, 5.78) = 5.78, p < .01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-22-LCN-02-Early_ emotional and embodied_ Processing of emotional words and body words in the native and .pdf,<,0.0501244279443456,"H(7) = 14.06, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-70-BLC-S1366728923000251a.pdf,<,0.985726143897441,"t(41.01) = .018, p < .001",TRUE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-30-BAL-Interactions-of-lexical-and-conceptual-representations--E_2023_Brain-and-Lan.pdf,<,0.0938902014000204,"F(1,29) = 3.00, p <.03",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-26-BLC-S136672892200061Xa.pdf,<,0.114912013187661,"F (2, 130) = 2.20, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-19-JML-On-verbal-memory-span-in-Chinese-speakers--Evidence-for-_2023_Journal-of-Mem.pdf,<,0.176841539761625,"F(1,31) = 1.91,p <.03",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
2023-31-JPR-s10936-023-09957-0.pdf,<,0.0553647202710987,"t(52) = 1.960, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,DE
